ds,y
12/10/2007,14629
12/11/2007,5012
12/12/2007,3582
12/13/2007,3205
12/14/2007,2680
12/15/2007,2401
12/16/2007,4510
12/17/2007,6831
12/18/2007,4370
12/19/2007,3196
12/20/2007,2642
12/21/2007,2349
12/22/2007,1862
12/23/2007,4382
12/24/2007,5542
12/25/2007,2572
12/26/2007,2576
12/27/2007,3140
12/28/2007,2770
12/29/2007,2536
12/30/2007,16369
12/31/2007,11920
1/1/2008,3999
1/2/2008,4604
1/3/2008,3874
1/4/2008,3317
1/5/2008,2836
1/6/2008,13484
1/7/2008,6952
1/8/2008,4585
1/9/2008,3821
1/10/2008,3951
1/11/2008,3995
1/12/2008,3638
1/13/2008,21950
1/14/2008,25011
1/15/2008,7584
1/16/2008,5251
1/17/2008,5155
1/18/2008,4446
1/19/2008,3726
1/20/2008,6898
1/21/2008,54025
1/22/2008,12644
1/23/2008,7505
1/24/2008,5133
1/25/2008,4893
1/26/2008,4525
1/27/2008,5285
1/28/2008,6226
1/29/2008,5620
1/30/2008,5846
2/1/2008,6797
2/2/2008,5105
2/3/2008,16286
2/4/2008,179415
2/5/2008,41576
2/6/2008,16183
2/7/2008,11110
2/8/2008,7870
2/9/2008,5373
2/10/2008,5527
2/11/2008,5521
2/12/2008,3698
2/13/2008,3181
2/14/2008,3339
2/15/2008,2439
2/16/2008,2054
2/17/2008,1912
2/18/2008,2234
2/19/2008,2413
2/20/2008,2227
2/21/2008,2365
2/22/2008,2198
2/23/2008,1601
2/24/2008,2726
2/25/2008,2052
2/26/2008,1946
2/27/2008,1935
2/29/2008,1905
3/2/2008,1536
3/5/2008,3377
3/6/2008,2664
3/7/2008,2489
3/8/2008,1610
3/9/2008,2476
3/10/2008,1886
3/11/2008,1898
3/12/2008,2184
3/13/2008,1767
3/14/2008,1570
3/15/2008,1133
3/16/2008,1234
3/17/2008,1556
3/18/2008,1520
3/19/2008,1578
3/20/2008,1448
3/21/2008,1410
3/22/2008,1099
3/23/2008,1292
3/24/2008,2343
3/25/2008,1842
3/26/2008,1659
3/27/2008,1707
3/28/2008,1378
3/29/2008,1087
3/30/2008,1355
3/31/2008,1497
4/1/2008,1555
4/2/2008,1834
4/3/2008,1625
4/4/2008,1460
4/5/2008,1441
4/6/2008,1298
4/7/2008,2021
4/8/2008,2034
4/9/2008,1679
4/10/2008,3576
4/11/2008,1635
4/12/2008,1220
4/13/2008,1189
4/14/2008,1671
4/15/2008,1793
4/16/2008,1613
4/17/2008,2171
4/18/2008,2184
4/19/2008,1421
4/20/2008,3446
4/21/2008,6087
4/22/2008,3265
4/23/2008,2541
4/24/2008,2098
